year,TRTID10,hinc,prent,powner,pwht,pblk,pop,punemp,mrent,pcol,phs,str30old,hh10old,fhh,pov,pfb,pfb10,p18und,p60up
1970,36005017902,6116.564417,0.996241609707773,0.0037584566134536927,0.6459767853629738,0.3316938730970358,4212.24660725892,0.057009345009165865,83.16519272,0.014951800500347267,0.5354121674912113,1428.666748,1313.064087,185.2128906,717.2338257,870.5419922,386.5852966,1198.70446777344,630.635375976563
1970,36005018101,5781.786874,0.9581951104363166,0.04180491138835618,0.5839989856726279,0.3957144665265282,2744.30436428636,0.047184649101882394,92.17479114,0.025992137915995712,0.5374667289805363,821.5167236,763.0606689,104.7338181,553.2450562,552.2012329,255.7453613,765.844299316406,477.739318847656
1970,36005018102,5781.786811,0.9581950784534097,0.04180490990026269,0.5839989856726252,0.3957144704048872,5142.69559164159,0.04718465212266051,92.17479532,0.025992139748122162,0.5374667395232118,1539.483276,1429.939331,196.2661743,1036.754883,1034.798828,479.2546387,1435.15563964844,895.260681152344
1970,36005018301,6596.685002,0.9725223818751564,0.02747761599719045,0.738413605088926,0.2396468975036512,4263.91442137957,0.03129570053968712,118.7696282,0.07438660096216905,0.5466701156834733,864.6286011,1361.707031,133.4030151,751.1530151,926.0715332,307.7679443,951.534301757813,1152.46911621094
1970,36005018302,6596.685086,0.9725223854063155,0.027477617231626186,0.7384136050889272,0.23964688235177037,3439.08558128265,0.03129570044457075,118.7696388,0.07438660462313591,0.5466701440150883,697.3713989,1098.292969,107.5969925,605.8469849,746.9284668,248.2320557,767.465698242188,929.530883789063
1970,36005018400,10223.35067,0.4412202380952381,0.5587797619047619,0.9960084526884252,4.69593800924479e-4,4259.0000039665,0.025450031036623216,103.7272739,0.02888001875685546,0.5517727160862629,831,618,29,167,768,56,1145,798
1970,36005018500,4470.455763,0.9652759084791386,0.034724091520861373,0.17833236938629007,0.7804313619601034,12101.000113938,0.06512173657964213,71.31004253,0.007933228584092537,0.4388893438553695,3236,2483,893,5060,292,41,5155,1074
1970,36005018900,6549.834041,0.9518108200393559,0.048189165353518526,0.7486276303751143,0.23707685749174323,8201.81982541084,0.05118881210584177,84.42096298,0.03693961618875525,0.5319076064660407,2918.099365,2117.990479,321.7319641,1230.648193,1420.122925,289.8401489,2280.26342773438,1689.32727050781
1970,36005019300,6344.914236,0.9858053012183622,0.014194702590980214,0.5189988771199295,0.45890154625054524,6595.18023223151,0.060396287540693976,83.19768343,0.016379830602968715,0.48465542251276533,1332.900635,1700.009521,332.2680531,1412.35186,972.8770676,432.1598511,2424.73655700684,826.672782897949
1970,36005019400,11274.50943,0.519774011299435,0.480225988700565,0.9987944544906568,6.027727690567464e-4,1658.99996040773,0.016058394160583942,93.75,0.013863773688305166,0.5714285850657955,321,233,26,92,224,0,456,265
1970,36005019500,6944.827418,0.9913986537023186,0.008601346297681375,0.8716259640102819,0.10796915056485597,6224.00006376207,0.03473562331146276,94.48864226,0.06378534639024973,0.5864395826811373,1916,1609,175,937,1268,151,1216,1940
1970,36005019700,6619.678781,0.9971855203542658,0.002814479538053621,0.8325440169118682,0.13481073604561453,5191.52310989952,0.030259733427132438,89.02247248,0.043858483932359284,0.5918239541573507,1910.042448,1482.72496,128.7101469,821.8114524,1478.228582,440.1636548,1030.98401451111,1367.91275787354
1970,36005019900,6315.7893110000005,0.9838543455857094,0.01614565441429062,0.5633478372152538,0.42231891004858263,7814.00008732826,0.05480682839173405,82.76014207,0.014333247856194319,0.5003839206939267,2727,2290,336,1327,1149,622,2440,975
1970,36005020000,8739.337086,0.8354078924854178,0.16459211017593242,0.9898550277168656,0.004194494701219222,3838.50770819539,0.04237336398017456,78.64733864,0.01616909844872473,0.6149110783236318,1320.375336,833.4575348,41.22425455,310.8236502,561.8518181,120.7554754,853.700637817383,852.661155700684
1970,36005020100,6099.558906,0.9789030238808822,0.021096976137508588,0.6254750954230626,0.36473111155934745,4494.25041119978,0.03389572628238165,82.64598233,0.019110095767243217,0.47288270958463235,1058.508639,1191.922067,249.4723639,737.0540513,476.258433,214.5260468,1553.94331988692,501.466303288937
1970,36005020200,9705.883218,0.7388059701492538,0.26119402985074625,0.9920724801812016,0.005662514198474425,1765.99998684227,0.023094688221709007,84.79592014,0.02548131389313491,0.6138165391146276,503,373,36,145,249,35,409,434
1970,36005020400,8968.750322,0.7486218302094818,0.2513781697905182,0.9880418535127088,0.008968609798649513,2676.00001993775,0.023131672597864767,84.94186649,0.006352765274043406,0.571001490514019,779,504,20,165,620,245,727,465
1970,36005020501,7743.894608,0.9571207312876294,0.042879283983664626,0.6772928670912438,0.3001283251127188,5470.79085305287,0.031906549477537044,95.72102739,0.048075163365682815,0.4849658346049661,1105.196473,1367.083302,191.5251608,757.5402246,1068.909562,486.8130101,1568.68259477615,878.6047488451
1970,36005020502,7747.190771,0.9570815259212412,0.04291845589798128,0.6773867086472496,0.3000112414857714,3432.12521758047,0.0319034836963295,95.74491984,0.04812774148037831,0.4849881794736625,693.1403198,857.5488892,120.0259705,475.0867004,671.1419678,305.6609802,983.749816894531,551.501953125
1970,36005020601,8990.740741,0.6113744075829384,0.3886255924170616,0.9973600844772958,0.0021119324171791766,1894.00000088196,0.04590570719602978,94.16666667,0.014783526920254236,0.5681098202211985,565,306,19,247,441,159,515,370
1970,36005020900,6183.019686,0.9936045546425638,0.0063954738091248076,0.8844843832715445,0.08627477885713876,4128.95905049571,0.04530266443170507,88.16317096,0.03823164331965177,0.5964066131158059,1508.898346,1119.030258,94.48685837,714.4043121,1193.476032,404.8967896,861.328491210938,1102.63017272949
1970,36005021001,9575.110243,0.9965636700024256,0.003436334161351557,0.9789990358341532,0.019611930427047845,7127.99828647077,0.028873125594926868,98.18127299,0.08058676047808216,0.6345869478652194,1154.860403,1455.889,42.44098104,441.4590344,918.7076126,34.79992294,935.753243684769,2724.8337187767
1970,36005021002,9575.110136,0.9965636626996068,0.0034363340085001026,0.9789990358341527,0.019611931716287445,8848.58451986426,0.0288731252054981,98.18126589,0.08058676079763985,0.6345869738142185,1433.62549,1807.317615,52.68556651,548.0202933,1140.469167,43.20007706,1161.62928020954,3382.56570959091
1970,36005021100,5997.354394,0.9733555370524563,0.026644462947543714,0.7103162873189482,0.2768253071105345,6765.99989917874,0.02835696413678065,84.12161837,0.022169672219209915,0.4767957505278079,2005,1895,379,1525,814,334,2372,814
1970,36005021200,8422.172134,0.9960154005191935,0.003984600005926182,0.9868115407179048,0.011599041992714679,5352.9164852503,0.020819691240231426,94.37024786,0.08171906217952993,0.6865134093023619,1204.325825,1021.76964,38.26612073,393.9876862,912.1971397,41.88706535,447.834153175354,2538.65642738342
1970,36005021301,7070.791093,0.97203787513001,0.02796212488376739,0.4376330580005845,0.5536940783390665,1616.95350067831,0.05889892061582135,78.66240646,0.025991244486851278,0.5074030632023885,526.3066482,517.26461,70.05355546,385.1649853,114.1397913,0.053123556,541.323348253965,118.127410158515
1970,36005021302,5969.798616,0.969230705189788,0.030769228182209327,0.6631435905178922,0.31209421806975923,6622.04639791238,0.048657064707860916,87.46753127,0.02793296015840563,0.46897175697516025,2129.693359,1837.735352,371.9464417,1145.834961,970.8601685,368.9468689,2245.67651367188,884.87255859375
1970,36005021501,5613.401584,0.9928728070175439,0.00712719298245614,0.7503869969040241,0.22832816827108082,5168.0001155138,0.048465266558966075,85.30219837,0.01838235253029888,0.49845200124263067,1404,1310,260,1006,953,423,1643,844
1970,36005021502,6552.884797,0.9837758112094396,0.016224188790560472,0.6106194690265492,0.37051014544200883,7684.00011450052,0.044495715227422544,86.79486624,0.021993752925781346,0.4795679262219187,2209,2077,352,1254,869,508,2647,932
