"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"134",1970,36005021502,6552.88,0.02,0.61,0.37,7684,0.04,86.79,0.02,0.48,2209,2077,352,1254,869,508,2647,932
"135",1970,36005021601,8792.86,0.2,0.98,0,3877,0.04,78.44,0.03,0.63,1251,801,33,395,543,49,795,992
"136",1970,36005021602,9117.89,0.02,0.98,0.02,4924.42,0.03,94.05,0.07,0.67,1023.51,959.79,28.87,337.52,724.82,0,543.62,2144.6
"137",1970,36005021700,6143.91,0.01,0.54,0.44,6196.97,0.05,86.68,0.02,0.5,1831.14,2055.7,296.68,1326.14,915.39,579.86,1923.46,785.96
"138",1970,36005021800,8063.49,0.2,0.95,0.04,6185,0.04,75.17,0.02,0.56,1647,1377,102,626,1080,103,1634,1284
"139",1970,36005021900,5290.64,0.01,0.88,0.09,1117.11,0.02,88.45,0.03,0.49,414.19,216.33,58.97,254.36,62.13,1.4,273.73,289.39
"140",1970,36005022000,3962.5,0.06,0.9,0.09,1344,0.08,80.14,0.02,0.57,516,408,103,383,338,190,410,232
"141",1970,36005022101,5989.41,0.01,0.78,0.2,2632.52,0.03,85.27,0.03,0.59,1002.26,770.97,74.38,339.77,705.88,268.1,608.25,605.15
"142",1970,36005022102,5989.41,0.01,0.78,0.2,4101.95,0.03,85.27,0.03,0.59,1561.7,1201.31,115.91,529.42,1099.89,417.74,947.77,942.94
"143",1970,36005022200,6643.93,0.15,0.99,0,2523.08,0.02,85.05,0.05,0.63,822.67,467.23,19.73,199.01,491.8,19.11,447.17,816.34
"144",1970,36005022300,6190.82,0,0.89,0.08,4599.83,0.04,90.17,0.04,0.58,1641.81,1265.1,90.16,640.88,1527.54,492.14,940.64,1240.4
"145",1970,36005022401,8080.36,0.01,0.99,0.01,2532,0.04,96.1,0.07,0.64,856,488,16,171,703,0,317,956
"146",1970,36005022403,8342.11,0,1,0,2921.38,0.04,94.76,0.06,0.67,1206.02,546,28.62,310.34,1086.18,76.91,373.39,1203.79
"147",1970,36005022404,8342.11,0,1,0,3611.62,0.04,94.76,0.06,0.67,1490.98,675,35.38,383.66,1342.82,95.09,461.61,1488.21
